"ng ","he "," th"," of","ed ","in "," an","the","on ","ing","of ","nd ","and"," in","er ","s a","as "," a ","is ","qualityClass"
57,125,151,62,111,54,86,157,75,67,78,90,89,84,80,26,36,26,13,6
22,22,52,29,27,13,21,29,24,16,20,20,19,36,13,13,9,10,28,6
28,112,124,34,77,38,48,118,30,34,54,49,50,38,28,17,35,34,18,6
32,119,101,24,82,15,39,109,33,34,26,40,20,29,25,5,19,26,1,6
36,90,109,35,74,26,46,99,12,39,46,51,92,32,25,22,28,11,38,6
27,117,111,71,46,32,53,113,24,26,64,67,49,34,25,42,21,11,25,6
11,57,63,38,21,20,25,56,16,11,32,18,25,20,15,13,7,10,13,6
12,85,80,25,58,19,29,70,15,15,29,26,34,22,23,19,26,12,11,6
25,66,100,31,41,21,27,74,18,33,32,29,25,24,16,19,16,4,3,6
7,19,28,22,14,1,5,20,9,5,21,10,17,6,8,2,2,5,3,6
35,82,93,34,88,15,32,68,25,36,30,24,30,30,22,24,27,25,19,6
72,185,222,100,126,47,69,192,58,94,81,71,102,83,70,30,50,30,6,6
30,107,104,41,82,25,38,108,28,26,50,32,30,30,17,14,26,19,15,6
44,153,153,47,74,36,65,154,29,47,42,63,75,45,36,20,36,16,10,6
14,54,61,29,41,21,14,41,15,11,15,22,17,17,17,7,16,13,2,6
7,12,26,18,7,6,9,21,6,9,17,11,10,11,5,6,10,2,13,6
5,11,23,20,6,4,8,12,7,3,18,11,9,4,2,5,2,4,3,6
116,291,344,128,165,82,134,296,78,102,105,145,118,105,68,63,101,64,47,6
32,98,124,47,55,26,49,98,28,25,40,46,48,42,22,14,13,5,8,6
11,23,22,8,11,5,9,25,10,13,15,10,10,3,5,9,9,10,11,6
15,63,87,42,28,12,27,78,28,26,48,19,15,29,38,23,21,24,37,6
11,59,68,27,24,18,10,78,20,18,32,16,20,42,22,15,16,17,19,6
34,161,161,60,77,35,50,124,24,30,48,48,60,43,37,23,20,24,16,6
23,99,84,41,24,17,33,77,33,38,33,35,30,22,24,19,21,18,9,6
31,119,102,24,47,52,43,95,31,50,24,35,38,59,59,16,22,22,6,6
23,70,49,36,19,13,27,38,18,18,25,27,28,28,14,17,14,10,12,6
24,74,68,27,32,13,23,74,16,23,26,32,27,22,47,10,16,12,24,6
51,103,111,50,56,19,51,130,31,33,38,55,52,40,35,12,31,21,3,6
33,93,101,46,50,19,56,80,20,29,26,42,42,31,17,25,25,12,13,6
41,99,108,47,91,38,45,103,40,46,44,37,68,69,43,21,27,21,2,6
52,175,229,88,120,36,72,174,97,49,97,75,78,75,44,36,38,34,22,6
31,39,50,24,37,20,16,45,14,22,17,18,18,16,14,8,20,11,7,6
27,61,70,25,38,13,28,58,17,31,21,25,23,30,22,19,17,23,26,6
12,56,59,45,23,21,34,48,21,27,34,30,35,29,10,16,23,13,27,6
43,142,180,74,49,50,63,184,26,54,75,66,95,54,42,29,36,17,26,6
23,88,99,48,41,18,26,89,48,48,41,42,37,24,33,14,20,20,2,6
20,59,36,20,18,14,24,41,15,14,19,20,11,12,11,10,14,20,7,6
35,143,153,69,73,40,33,148,52,34,55,62,56,42,32,25,30,18,7,6
28,36,38,34,35,31,40,36,37,31,40,36,31,49,11,18,11,19,18,6
61,164,190,68,128,49,102,163,37,69,59,83,97,70,56,36,39,30,11,6
40,162,159,61,113,53,66,159,61,46,78,51,62,69,36,27,42,19,7,6
6,45,28,14,27,13,11,34,8,7,16,16,13,9,15,6,16,4,1,6
46,152,160,78,115,33,75,144,32,47,56,47,48,73,47,22,43,40,22,6
5,35,35,23,11,6,11,31,7,5,17,13,4,4,10,5,7,5,4,6
2,23,23,8,17,8,4,16,5,4,9,4,2,7,7,2,11,4,2,6
31,128,147,62,61,49,44,124,46,38,50,42,64,57,34,26,29,23,28,6
42,148,140,69,45,47,80,136,35,38,60,57,60,54,32,34,54,16,32,6
29,96,92,42,49,13,40,104,24,25,32,37,28,31,19,6,30,12,8,6
6,15,20,10,19,12,9,13,8,11,12,7,4,8,5,12,10,10,20,6
15,42,44,34,16,9,25,38,19,11,32,23,15,15,18,14,6,20,9,6
12,52,57,18,16,14,13,51,14,11,13,21,21,25,13,8,15,6,16,5
71,196,230,117,123,71,102,195,72,67,106,120,127,71,55,28,49,51,33,5
23,56,64,18,14,9,12,46,21,22,16,10,10,9,8,8,5,14,16,5
106,261,237,73,124,74,110,205,46,90,69,97,104,95,145,47,71,57,104,5
5,24,22,13,24,11,11,29,8,6,10,7,10,20,6,10,13,8,9,5
20,85,90,22,38,27,18,75,35,29,33,26,27,23,13,11,12,13,11,5
82,190,185,88,123,75,100,213,42,73,76,87,82,87,51,36,50,39,32,5
34,133,120,69,98,35,46,159,42,47,78,61,61,61,47,20,35,34,15,5
36,82,116,59,53,45,36,112,26,28,53,31,37,54,37,23,23,25,19,5
9,33,39,21,27,15,15,37,16,12,18,20,19,23,14,6,7,11,4,5
17,42,42,12,14,12,22,37,12,15,18,19,29,13,17,12,13,8,6,5
14,51,61,32,24,17,21,55,13,9,27,17,24,23,10,9,14,8,10,5
20,44,55,17,33,13,22,49,32,14,16,27,24,15,26,9,19,13,6,5
20,14,40,10,23,14,11,30,9,22,11,10,17,20,6,4,16,10,2,5
19,57,46,14,36,20,35,41,12,29,20,26,21,29,18,21,24,17,14,5
18,35,35,15,17,10,14,34,13,9,17,15,15,9,6,8,20,3,6,5
36,77,90,62,45,28,48,78,28,42,65,54,46,52,18,30,26,35,23,5
30,124,118,84,39,32,69,113,30,29,67,90,102,35,30,36,25,18,29,5
15,34,50,9,28,6,14,25,8,12,8,15,14,19,25,8,15,14,6,5
55,166,164,77,57,47,96,167,50,50,86,89,71,76,27,25,57,24,16,5
10,75,69,27,41,10,29,52,24,19,27,27,20,28,22,9,23,26,10,5
15,46,47,20,27,17,17,44,11,12,16,11,26,16,10,10,11,5,1,5
13,43,44,22,22,11,16,45,13,10,23,21,14,15,7,8,5,5,10,5
125,293,376,116,179,82,162,322,81,145,122,143,149,109,80,66,97,69,27,5
28,68,76,39,89,28,40,102,39,36,44,37,44,33,32,15,47,25,31,5
55,127,169,77,95,62,73,143,37,39,56,116,97,88,32,54,48,38,57,5
27,83,89,28,45,30,34,77,24,18,30,47,46,38,20,13,23,11,11,5
25,125,129,63,58,26,56,122,52,44,64,60,68,52,33,32,22,31,16,5
78,201,211,78,127,45,100,211,69,81,84,156,161,74,57,39,43,59,38,5
37,68,80,32,50,14,37,75,27,51,31,41,33,44,27,31,16,23,17,5
60,175,206,59,57,58,83,194,45,73,82,80,76,67,31,35,29,47,25,5
9,32,40,19,19,13,11,41,17,12,17,11,25,13,3,8,9,7,6,5
22,56,69,37,44,12,17,65,26,20,30,17,21,33,8,20,18,19,23,5
26,80,106,39,51,20,31,80,34,37,34,28,36,17,24,13,23,28,12,5
19,54,81,33,24,16,34,59,21,22,46,18,19,24,12,16,9,17,16,5
1,9,5,5,2,4,6,7,1,1,3,9,5,2,3,1,1,0,2,5
