"he "," th"," of","ed "," an","the","of ","and"," in","qualityClass"
349,456,172,201,169,396,167,108,188,4
18,21,21,12,6,13,5,7,13,4
77,80,41,39,30,64,38,29,21,4
52,56,35,31,33,49,32,23,33,4
25,19,16,15,15,23,14,6,7,4
144,141,66,36,59,141,70,54,45,4
132,187,97,75,76,170,67,45,102,4
160,167,79,61,87,158,75,87,73,4
103,144,92,125,98,116,91,81,92,4
101,113,53,40,38,101,59,51,60,4
28,21,6,26,15,31,10,12,16,4
60,71,47,41,22,66,33,25,30,4
43,50,14,32,24,41,15,21,13,4
52,48,23,60,48,59,42,28,24,4
214,261,111,166,150,233,126,113,130,4
85,154,49,72,73,127,39,72,97,4
67,56,12,20,21,45,10,41,25,4
62,82,37,21,21,61,16,28,23,4
69,85,26,24,26,95,20,25,23,4
47,62,16,27,29,58,22,21,27,4
198,279,134,109,95,241,142,99,110,4
220,307,149,145,116,265,170,98,113,4
152,232,114,95,124,188,110,85,135,4
24,41,19,9,14,37,16,11,12,4
41,31,23,22,4,22,23,16,18,4
339,434,188,147,129,368,182,145,115,4
135,154,76,102,76,151,74,78,83,4
97,93,36,64,49,89,29,43,30,4
119,205,62,101,32,133,64,37,50,4
39,44,43,28,22,45,38,24,23,4
40,54,47,42,22,54,33,23,29,4
265,263,118,84,102,273,131,99,102,4
88,109,44,26,26,90,36,32,28,4
0,1,1,0,1,1,2,0,0,4
50,67,35,27,27,70,26,36,17,4
2,3,0,0,1,7,1,2,1,4
54,58,23,35,21,50,25,15,36,4
192,182,132,107,97,180,131,80,73,4
18,18,6,18,5,16,8,18,9,4
129,123,61,69,67,114,69,70,62,4
31,28,11,4,9,21,8,7,14,4
9,12,5,4,3,6,7,8,5,4
30,31,11,6,4,30,13,10,6,4
37,43,12,18,9,42,12,12,12,4
52,61,23,27,27,42,24,30,25,4
121,122,66,42,67,111,52,83,48,4
26,30,21,19,31,17,17,14,21,4
59,91,69,54,58,82,57,62,46,4
19,32,10,17,9,25,5,15,12,4
82,91,28,27,29,81,24,32,27,4
185,208,92,97,94,187,77,82,102,4
11,9,7,6,3,12,3,2,4,4
28,38,21,23,12,23,14,18,16,4
216,229,94,107,113,193,86,125,100,4
59,58,30,18,19,67,23,20,22,4
103,101,35,32,67,113,40,73,55,4
8,3,2,4,4,5,2,4,3,4
152,184,81,89,61,152,70,59,56,4
164,283,118,120,89,207,119,95,107,4
20,11,7,4,1,12,6,2,1,4
184,169,82,102,55,185,90,58,63,4
49,45,14,15,12,39,12,12,14,4
316,366,125,119,141,308,119,118,114,4
43,23,11,31,14,19,7,24,14,4
47,57,17,16,25,44,20,25,27,4
28,19,4,4,8,28,12,9,4,4
103,100,40,73,65,105,57,55,69,4
160,171,75,72,71,150,76,82,89,4
141,152,52,90,54,139,50,55,52,4
78,93,41,40,24,74,55,35,35,4
170,163,71,59,82,142,83,76,72,4
200,221,130,67,79,217,105,79,88,4
45,62,19,37,25,57,14,23,11,4
107,109,60,47,62,83,66,65,69,4
59,78,27,29,23,69,28,33,14,4
155,166,69,79,93,153,60,101,109,4
27,43,16,19,24,39,26,19,11,3
3,2,1,4,0,4,4,3,3,3
30,36,16,16,32,31,17,24,4,3
49,56,22,27,19,50,20,19,27,3
101,143,36,53,53,112,36,31,47,3
1,8,1,5,2,3,3,2,2,3
15,14,2,7,4,6,0,2,4,3
36,25,10,11,7,28,16,11,1,3
89,96,36,39,26,105,50,18,21,3
78,83,44,38,46,64,47,56,28,3
23,19,5,3,2,15,13,4,4,3
62,126,44,44,47,78,46,53,42,3
23,32,11,12,9,21,12,5,11,3
80,62,48,47,36,58,44,28,33,3
40,59,20,29,14,45,11,11,15,3
9,7,1,2,3,6,1,5,4,3
59,54,27,35,26,44,22,24,18,3
29,24,11,10,7,24,15,10,7,3
27,33,16,7,6,31,23,11,14,3
72,63,26,51,30,60,26,39,23,3
114,148,62,74,68,133,57,67,45,3
42,41,26,18,24,46,20,22,23,3
39,38,10,12,17,24,8,13,12,3
20,30,11,11,14,29,9,7,1,3
113,153,75,81,55,145,78,53,66,3
9,4,3,0,1,10,8,1,3,3
21,21,12,7,5,16,17,10,3,3
23,17,9,27,6,25,5,15,5,3
15,14,10,11,9,16,4,2,6,3
2,17,6,3,7,13,7,6,3,3
138,163,77,117,76,158,69,71,64,3
83,92,30,52,30,91,39,45,19,3
